Cliente_ID,Fecha_Visita,Tipo_Servicio,Tiempo_Espera,Duración_Atención,Costo_Servicio,Personal_Atención,Calidad_Atención,Instalaciones,Comunicación,Facilidad_Pago,Experiencia_Cliente,Recomendaciones,Satisfaccion_cliente,Niveles
1,04/05/2023,Urgencias,19,15,1324,MVZ. Eddie Hernández Vidal,4,3,3,5,Buena,No,Satisfecho,Satisfecho
2,07/08/2023,Ultrasonido,30,128,598,MVZ. Eddie Hernández Vidal,1,3,4,4,Buena,Sí,Satisfecho,Satisfecho
3,15/12/2023,Servicio a domicilio,11,104,1082,MVZ. Eddie Hernández Vidal,2,5,3,2,Mala,No,Muy Satisfecho,Muy Satisfecho
4,02/02/2023,Vacunación,37,34,1186,MVZ. Eddie Hernández Vidal,3,1,3,1,Buena,No,Insatisfecho,Insatisfecho
5,07/10/2023,Vacunación,12,88,948,MVZ. Eddie Hernández Vidal,1,3,5,5,Buena,No,Insatisfecho,Insatisfecho
6,17/02/2023,Cirugías,32,24,337,MVZ. Eddie Hernández Vidal,3,2,2,2,Buena,No,Insatisfecho,Insatisfecho
7,16/01/2023,Consulta general,10,17,2287,MVZ. Eddie Hernández Vidal,4,1,2,4,Pésima,No,Insatisfecho,Insatisfecho
8,31/12/2023,Desparasitación,33,20,126,MVZ. Eddie Hernández Vidal,5,5,4,3,Pésima,No,Extremadamente satisfecho,Extremadamente satisfecho
9,27/11/2023,Ultrasonido,21,21,4615,MVZ. Eddie Hernández Vidal,2,5,5,3,Mala,No,Algo satisfecho,Algo satisfecho
10,05/10/2023,Hospitalización,28,22,5066,MVZ. Eddie Hernández Vidal,4,2,4,2,Regular,No,Satisfecho,Satisfecho
11,26/05/2023,Servicio a domicilio,36,125,5343,MVZ. Eddie Hernández Vidal,4,4,5,5,Regular,Sí,Satisfecho,Satisfecho
12,13/04/2023,Vacunación,5,142,970,MVZ. Eddie Hernández Vidal,1,3,4,4,Buena,Sí,Algo satisfecho,Algo satisfecho
13,04/11/2023,Servicio a domicilio,37,135,5947,MVZ. Eddie Hernández Vidal,2,4,3,2,Mala,Sí,Insatisfecho,Insatisfecho
14,01/02/2023,Consulta general,39,26,4494,MVZ. Eddie Hernández Vidal,3,3,1,5,Regular,Sí,Muy Satisfecho,Muy Satisfecho
15,22/03/2023,Servicio a domicilio,38,132,652,MVZ. Eddie Hernández Vidal,4,1,5,1,Regular,No,Algo satisfecho,Algo satisfecho
16,16/05/2023,Urgencias,17,131,575,MVZ. Eddie Hernández Vidal,3,5,1,3,Pésima,Sí,Muy Satisfecho,Muy Satisfecho
