Cliente_ID,Fecha_Visita,Tipo_Servicio,Tiempo_Espera,Duración_Atención,Costo_Servicio,Personal_Atención,Calidad_Atención,Instalaciones,Comunicación,Facilidad_Pago,Experiencia_Cliente,Recomendaciones,Satisfaccion_cliente
1,01/01/2024,Cirugías,15,30,9843,MVZ. Eddie Hernández Vidal,5,1,4,4,Regular,Sí,Muy Satisfecho
2,02/01/2024,Urgencias,54,5,8210,MVZ. Eddie Hernández Vidal,4,3,3,1,Regular,No,Satisfecho
3,03/01/2024,Vacunación,32,112,9425,MVZ. Eddie Hernández Vidal,5,3,4,3,Mala,Sí,Muy Satisfecho
4,04/01/2024,Vacunación,44,167,7037,MVZ. Eddie Hernández Vidal,4,3,5,2,Mala,No,Muy Satisfecho
5,05/01/2024,Hospitalización,16,130,5750,MVZ. Eddie Hernández Vidal,3,5,5,2,Pesima,No,Muy Satisfecho
6,06/01/2024,Vacunación,50,117,5114,MVZ. Eddie Hernández Vidal,5,4,5,1,Regular,Sí,Muy Satisfecho
7,07/01/2024,Cirugías,51,48,7727,MVZ. Eddie Hernández Vidal,1,4,1,1,Mala,No,Algo satisfecho
8,08/01/2024,Servicio a domicilio,44,170,2826,MVZ. Eddie Hernández Vidal,3,2,1,5,Regular,Sí,Satisfecho
9,09/01/2024,Desparacitación,50,112,7509,MVZ. Eddie Hernández Vidal,4,1,3,1,Regular,Sí,Algo satisfecho
10,10/01/2024,Hospitalización,49,47,8826,MVZ. Eddie Hernández Vidal,1,5,3,3,Pesima,Sí,Satisfecho
11,11/01/2024,Ultrasonido,11,98,5857,MVZ. Eddie Hernández Vidal,5,5,4,1,Regular,No,Muy Satisfecho
12,12/01/2024,Estética,15,6,4005,MVZ. Eddie Hernández Vidal,2,2,2,4,Regular,No,Satisfecho
13,13/01/2024,Estética,25,28,7166,MVZ. Eddie Hernández Vidal,4,1,3,3,Regular,No,Satisfecho
14,14/01/2024,Consulta general,21,93,4867,MVZ. Eddie Hernández Vidal,5,3,1,4,Regular,Sí,Satisfecho
15,15/01/2024,Ultrasonido,22,94,6135,MVZ. Eddie Hernández Vidal,5,2,1,3,Pesima,No,Satisfecho
16,16/01/2024,Hospitalización,17,74,1057,MVZ. Eddie Hernández Vidal,4,3,2,1,Regular,Sí,Satisfecho
17,17/01/2024,Hospitalización,28,155,7791,MVZ. Eddie Hernández Vidal,4,3,2,5,Pesima,No,Muy Satisfecho
18,18/01/2024,Estética,58,85,6623,MVZ. Eddie Hernández Vidal,4,3,2,3,Buena,No,Satisfecho
19,19/01/2024,Consulta general,27,100,1309,MVZ. Eddie Hernández Vidal,5,3,1,1,Buena,Sí,Satisfecho
20,20/01/2024,Cirugías,44,102,2933,MVZ. Eddie Hernández Vidal,3,4,4,2,Pesima,Sí,Satisfecho
21,21/01/2024,Estética,8,36,5324,MVZ. Eddie Hernández Vidal,2,2,1,2,Regular,No,Algo satisfecho
22,22/01/2024,Desparacitación,27,57,5999,MVZ. Eddie Hernández Vidal,5,5,4,2,Pesima,No,Muy Satisfecho
23,23/01/2024,Vacunación,28,69,7816,MVZ. Eddie Hernández Vidal,4,1,3,3,Buena,No,Satisfecho
24,24/01/2024,Urgencias,39,13,9521,MVZ. Eddie Hernández Vidal,3,4,1,1,Mala,No,Algo satisfecho
25,25/01/2024,Vacunación,43,29,4460,MVZ. Eddie Hernández Vidal,2,2,2,5,Regular,Sí,Satisfecho
26,26/01/2024,Cirugías,39,75,419,MVZ. Eddie Hernández Vidal,3,3,4,2,Pesima,No,Satisfecho
27,27/01/2024,Urgencias,35,80,6218,MVZ. Eddie Hernández Vidal,4,4,2,2,Buena,Sí,Satisfecho
28,28/01/2024,Servicio a domicilio,30,67,5965,MVZ. Eddie Hernández Vidal,2,1,2,1,Mala,Sí,Algo satisfecho
29,29/01/2024,Vacunación,52,106,8376,MVZ. Eddie Hernández Vidal,3,3,1,5,Buena,No,Satisfecho
30,30/01/2024,Estética,41,76,8735,MVZ. Eddie Hernández Vidal,3,2,5,5,Buena,No,Muy Satisfecho
31,31/01/2024,Consulta general,54,30,3211,MVZ. Eddie Hernández Vidal,3,4,2,3,Buena,No,Satisfecho
32,01/02/2024,Vacunación,9,47,6710,MVZ. Eddie Hernández Vidal,2,3,5,3,Mala,Sí,Satisfecho
33,02/02/2024,Vacunación,54,138,7483,MVZ. Eddie Hernández Vidal,4,4,1,1,Regular,Sí,Satisfecho
34,03/02/2024,Vacunación,52,170,6552,MVZ. Eddie Hernández Vidal,2,3,4,3,Buena,Sí,Satisfecho
