Animal_ID,Especie,Temperatura,Frecuencia_Cardiaca,Frecuencia_Respiratoria,Hidratación,Hemograma_Completo,Análisis_Urina,Bioquímica_Sanguínea,Observaciones_Físicas,Síntomas,Comportamiento,Historial_Médico,Alimentación,Condiciones_vida,Clasificación_Enfermedad
1,Gato,39.5°C,122 bpm,30 rpm,Deshidratado,Leucocitos altos,Sangre en orina,Enzimas hepáticas altas,Sin anomalías,Estornudos,Apático,Actualizado,Comida casera,Exterior,Policitemia
2,Perro,38.4°C,123 bpm,31 rpm,Normal,Normal,Proteína alta,Enzimas hepáticas altas,Rascarse excesivo,Letargia,Agresivo,Sin vacunas,Comida casera,Rural,Diabetes Mellitus
3,Perro,39.2°C,141 bpm,34 rpm,Normal,Hemoglobina alta,Sangre en orina,Normal,Sin anomalías,Ninguno,Agresivo,Actualizado,Comida seca,Interior total,Policitemia
4,Gato,37.2°C,155 bpm,23 rpm,Normal,Hemoglobina alta,Proteína alta,Creatinina alta,Pérdida de pelo,Vómitos,Normal,Actualizado,Comida casera,Interior,Anemia
5,Perro,37.4°C,160 bpm,35 rpm,Normal,Hemoglobina baja,Normal,Creatinina alta,Pérdida de pelo,Letargia,Agresivo,Actualizado,Comida casera,Rural,Policitemia
6,Gato,38.4°C,99 bpm,26 rpm,Deshidratado,Leucocitos altos,Normal,Normal,Vómitos y diarrea,Letargia,Apático,Actualizado,Comida casera,Interior total,Alergias
7,Gato,37.4°C,94 bpm,23 rpm,Deshidratado,Hemoglobina alta,Sangre en orina,Glucosa alta,Vómitos y diarrea,Vómitos,Agresivo,Actualizado,Comida seca,Rural,Policitemia
8,Gato,38.2°C,149 bpm,25 rpm,Normal,Normal,Normal,Creatinina alta,Rascarse excesivo,Ninguno,Normal,Sin vacunas,Comida casera,Exterior total,Leucopenia
9,Perro,38.6°C,152 bpm,29 rpm,Normal,Normal,Sangre en orina,Creatinina alta,Pérdida de pelo,Letargia,Apático,Sin vacunas,Comida casera,Interior,Policitemia
10,Gato,39.4°C,157 bpm,25 rpm,Normal,Leucocitos bajos,Normal,Normal,Sin anomalías,Letargia,Normal,Sin vacunas,Comida casera,Interior total,Insuficiencia Renal
11,Perro,37.6°C,160 bpm,32 rpm,Normal,Leucocitos bajos,Proteína alta,Creatinina alta,Vómitos y diarrea,Estornudos,Apático,Sin vacunas,Comida casera,Exterior,Gastroenteritis
12,Perro,38.1°C,101 bpm,30 rpm,Deshidratado,Hemoglobina baja,Proteína alta,Creatinina alta,Secreción nasal,Letargia,Apático,Sin vacunas,Comida casera,Interior,Infección Respiratoria
13,Gato,38.2°C,120 bpm,23 rpm,Normal,Leucocitos altos,Sangre en orina,Creatinina alta,Pérdida de pelo,Vómitos,Normal,Actualizado,Comida seca,Rural,Policitemia
14,Gato,38.8°C,159 bpm,23 rpm,Normal,Hemoglobina baja,Sangre en orina,Creatinina alta,Ictericia,Estornudos,Normal,Sin vacunas,Comida seca,Rural,Leucopenia
15,Perro,37.3°C,149 bpm,33 rpm,Normal,Hemoglobina alta,Sangre en orina,Normal,Ictericia,Letargia,Apático,Actualizado,Comida casera,Interior,Leucopenia
16,Gato,39.6°C,151 bpm,31 rpm,Deshidratado,Normal,Sangre en orina,Glucosa alta,Pérdida de pelo,Vómitos,Agresivo,Actualizado,Comida seca,Interior,Hepatitis
17,Gato,37.4°C,99 bpm,29 rpm,Normal,Leucocitos altos,Proteína alta,Glucosa alta,Ictericia,Vómitos,Normal,Sin vacunas,Comida casera,Rural,Alergias
18,Gato,40.0°C,152 bpm,27 rpm,Normal,Hemoglobina baja,Normal,Normal,Pérdida de pelo,Ninguno,Normal,Actualizado,Comida casera,Exterior total,Gastroenteritis
