Cliente_ID,Fecha_Visita,Tipo_Servicio,Tiempo_Espera,Duración_Atención,Costo_Servicio,Personal_Atención,Calidad_Atención,Instalaciones,Comunicación,Facilidad_Pago,Experiencia_Cliente,Recomendaciones,Satisfaccion_cliente,Niveles
1,04/05/2023,Ultrasonido,10,122,4452,MVZ. Eddie Hernández Vidal,4,4,3,5,Mala,Sí,5,Extremadamente satisfecho
2,07/08/2023,Servicio a domicilio,31,27,881,MVZ. Eddie Hernández Vidal,3,4,5,3,Pésima,No,4,Muy Satisfecho
3,15/12/2023,Desparasitación,39,57,384,MVZ. Eddie Hernández Vidal,1,3,2,5,Buena,Sí,3,Satisfecho
4,02/02/2023,Desparasitación,13,140,4515,MVZ. Eddie Hernández Vidal,1,5,1,5,Buena,No,4,Muy Satisfecho
5,07/10/2023,Servicio a domicilio,15,71,4072,MVZ. Eddie Hernández Vidal,2,1,1,4,Mala,Sí,1,Insatisfecho
6,17/02/2023,Servicio a domicilio,15,20,3270,MVZ. Eddie Hernández Vidal,3,5,1,2,Regular,No,1,Insatisfecho
7,16/01/2023,Estética,34,90,1779,MVZ. Eddie Hernández Vidal,2,1,1,4,Regular,Sí,3,Satisfecho
8,31/12/2023,Urgencias,29,19,1111,MVZ. Eddie Hernández Vidal,3,4,5,4,Pésima,No,3,Satisfecho
9,27/11/2023,Servicio a domicilio,16,103,5011,MVZ. Eddie Hernández Vidal,2,2,1,4,Mala,No,1,Insatisfecho
10,05/10/2023,Vacunación,8,135,5797,MVZ. Eddie Hernández Vidal,2,4,3,3,Pésima,No,1,Insatisfecho
11,26/05/2023,Hospitalización,20,124,5105,MVZ. Eddie Hernández Vidal,5,5,4,2,Regular,No,1,Insatisfecho
12,13/04/2023,Urgencias,31,20,1908,MVZ. Eddie Hernández Vidal,4,4,2,1,Mala,No,2,Algo satisfecho
13,04/11/2023,Servicio a domicilio,6,79,2633,MVZ. Eddie Hernández Vidal,2,4,3,2,Mala,No,3,Satisfecho
14,01/02/2023,Ultrasonido,37,87,1731,MVZ. Eddie Hernández Vidal,4,3,1,2,Pésima,No,5,Extremadamente satisfecho
15,22/03/2023,Cirugías,12,113,2143,MVZ. Eddie Hernández Vidal,3,3,2,4,Regular,Sí,2,Algo satisfecho
16,16/05/2023,Servicio a domicilio,21,111,1915,MVZ. Eddie Hernández Vidal,2,2,3,1,Regular,Sí,2,Algo satisfecho
17,02/09/2023,Cirugías,30,99,1928,MVZ. Eddie Hernández Vidal,4,1,1,5,Buena,Sí,4,Muy Satisfecho
18,22/04/2023,Desparasitación,37,102,4286,MVZ. Eddie Hernández Vidal,3,1,3,3,Regular,No,5,Extremadamente satisfecho
19,27/05/2023,Consulta general,38,55,2631,MVZ. Eddie Hernández Vidal,5,4,1,3,Buena,Sí,5,Extremadamente satisfecho
20,24/06/2023,Urgencias,15,105,2662,MVZ. Eddie Hernández Vidal,2,4,5,2,Pésima,Sí,5,Extremadamente satisfecho
21,30/07/2023,Urgencias,35,141,4672,MVZ. Eddie Hernández Vidal,1,4,5,4,Mala,No,4,Muy Satisfecho
22,19/05/2023,Urgencias,32,33,2969,MVZ. Eddie Hernández Vidal,5,5,5,5,Regular,No,1,Insatisfecho
23,27/03/2023,Ultrasonido,13,127,405,MVZ. Eddie Hernández Vidal,3,2,1,1,Regular,Sí,3,Satisfecho
24,16/12/2023,Servicio a domicilio,7,33,5488,MVZ. Eddie Hernández Vidal,4,5,3,2,Buena,No,2,Algo satisfecho
25,31/01/2023,Servicio a domicilio,6,59,3803,MVZ. Eddie Hernández Vidal,3,5,5,4,Pésima,Sí,3,Satisfecho
26,13/12/2023,Estética,37,56,5891,MVZ. Eddie Hernández Vidal,4,1,1,5,Mala,Sí,2,Algo satisfecho
27,10/01/2023,Ultrasonido,24,74,2684,MVZ. Eddie Hernández Vidal,5,3,4,3,Regular,No,5,Extremadamente satisfecho
28,11/06/2023,Cirugías,30,60,1367,MVZ. Eddie Hernández Vidal,4,3,2,4,Buena,No,1,Insatisfecho
29,20/07/2023,Hospitalización,6,20,225,MVZ. Eddie Hernández Vidal,2,5,5,2,Buena,No,1,Insatisfecho
30,09/06/2023,Hospitalización,32,49,5035,MVZ. Eddie Hernández Vidal,3,5,2,1,Mala,No,3,Satisfecho
31,10/09/2023,Cirugías,16,42,4116,MVZ. Eddie Hernández Vidal,1,3,5,2,Mala,No,4,Muy Satisfecho
32,05/06/2023,Ultrasonido,27,103,3982,MVZ. Eddie Hernández Vidal,4,4,4,4,Mala,No,2,Algo satisfecho
33,14/07/2023,Estética,31,83,3344,MVZ. Eddie Hernández Vidal,1,4,1,5,Regular,No,3,Satisfecho
34,03/04/2023,Ultrasonido,22,128,3399,MVZ. Eddie Hernández Vidal,3,3,2,1,Buena,No,2,Algo satisfecho
35,20/11/2023,Consulta general,7,33,671,MVZ. Eddie Hernández Vidal,5,5,4,2,Regular,No,3,Satisfecho
36,12/03/2023,Estética,19,91,976,MVZ. Eddie Hernández Vidal,4,2,4,3,Mala,No,1,Insatisfecho
37,05/04/2023,Ultrasonido,12,135,889,MVZ. Eddie Hernández Vidal,3,3,4,2,Pésima,Sí,3,Satisfecho
38,10/02/2023,Vacunación,12,79,5078,MVZ. Eddie Hernández Vidal,2,2,5,4,Regular,No,2,Algo satisfecho
39,12/10/2023,Vacunación,36,142,568,MVZ. Eddie Hernández Vidal,2,2,1,3,Regular,Sí,4,Muy Satisfecho
40,26/09/2023,Urgencias,32,142,1812,MVZ. Eddie Hernández Vidal,1,1,4,4,Regular,No,5,Extremadamente satisfecho
41,21/10/2023,Servicio a domicilio,37,106,3648,MVZ. Eddie Hernández Vidal,2,4,3,5,Regular,No,4,Muy Satisfecho
42,20/05/2023,Hospitalización,31,69,3072,MVZ. Eddie Hernández Vidal,5,2,2,4,Buena,Sí,4,Muy Satisfecho
43,02/06/2023,Cirugías,37,52,808,MVZ. Eddie Hernández Vidal,3,1,4,3,Pésima,Sí,5,Extremadamente satisfecho
44,04/02/2023,Cirugías,7,85,2852,MVZ. Eddie Hernández Vidal,3,4,1,1,Regular,No,3,Satisfecho
45,27/07/2023,Cirugías,40,82,544,MVZ. Eddie Hernández Vidal,2,1,4,2,Regular,No,2,Algo satisfecho
46,01/12/2023,Servicio a domicilio,17,88,2918,MVZ. Eddie Hernández Vidal,3,1,3,3,Mala,Sí,2,Algo satisfecho
47,26/10/2023,Desparasitación,26,17,3197,MVZ. Eddie Hernández Vidal,4,5,5,1,Pésima,No,3,Satisfecho
48,11/01/2023,Desparasitación,39,124,1143,MVZ. Eddie Hernández Vidal,5,3,1,3,Regular,Sí,1,Insatisfecho
49,12/09/2023,Estética,33,74,2930,MVZ. Eddie Hernández Vidal,4,5,1,5,Mala,No,5,Extremadamente satisfecho
50,21/12/2023,Vacunación,13,24,5029,MVZ. Eddie Hernández Vidal,4,3,1,3,Buena,No,3,Satisfecho
51,18/11/2023,Estética,9,50,5023,MVZ. Eddie Hernández Vidal,2,5,5,3,Regular,No,3,Satisfecho
52,13/07/2023,Cirugías,14,129,4261,MVZ. Eddie Hernández Vidal,3,1,5,5,Buena,Sí,4,Muy Satisfecho
53,15/01/2023,Cirugías,6,121,3783,MVZ. Eddie Hernández Vidal,4,5,2,5,Regular,Sí,1,Insatisfecho
54,21/07/2023,Hospitalización,18,89,1560,MVZ. Eddie Hernández Vidal,4,4,2,1,Buena,Sí,3,Satisfecho
55,04/11/2023,Consulta general,38,92,715,MVZ. Eddie Hernández Vidal,4,5,4,5,Mala,Sí,2,Algo satisfecho
56,24/11/2023,Vacunación,40,98,5963,MVZ. Eddie Hernández Vidal,4,4,5,2,Pésima,No,2,Algo satisfecho
57,13/10/2023,Estética,37,28,5980,MVZ. Eddie Hernández Vidal,4,1,4,1,Mala,Sí,1,Insatisfecho
58,14/11/2023,Urgencias,21,50,3975,MVZ. Eddie Hernández Vidal,2,4,5,5,Mala,Sí,5,Extremadamente satisfecho
59,17/06/2023,Estética,5,19,4942,MVZ. Eddie Hernández Vidal,2,5,1,1,Pésima,Sí,1,Insatisfecho
60,14/05/2023,Consulta general,6,109,1707,MVZ. Eddie Hernández Vidal,5,5,1,4,Regular,No,3,Satisfecho
61,05/03/2023,Desparasitación,13,50,5418,MVZ. Eddie Hernández Vidal,3,4,4,4,Buena,No,1,Insatisfecho
62,22/05/2023,Cirugías,11,121,3988,MVZ. Eddie Hernández Vidal,5,3,3,2,Mala,Sí,4,Muy Satisfecho
63,28/05/2023,Ultrasonido,19,76,4729,MVZ. Eddie Hernández Vidal,1,1,5,5,Buena,No,1,Insatisfecho
64,04/04/2023,Estética,32,19,1078,MVZ. Eddie Hernández Vidal,1,3,3,5,Pésima,No,2,Algo satisfecho
65,21/04/2023,Hospitalización,26,32,4857,MVZ. Eddie Hernández Vidal,3,2,3,2,Pésima,Sí,4,Muy Satisfecho
66,29/11/2023,Consulta general,34,129,3592,MVZ. Eddie Hernández Vidal,5,1,1,2,Mala,No,4,Muy Satisfecho
67,14/08/2023,Servicio a domicilio,27,134,2900,MVZ. Eddie Hernández Vidal,1,5,2,4,Regular,No,5,Extremadamente satisfecho
68,30/06/2023,Hospitalización,25,117,4041,MVZ. Eddie Hernández Vidal,2,3,3,4,Buena,Sí,4,Muy Satisfecho
69,07/01/2023,Vacunación,32,59,5190,MVZ. Eddie Hernández Vidal,5,2,2,1,Buena,Sí,2,Algo satisfecho
70,18/07/2023,Hospitalización,5,32,5794,MVZ. Eddie Hernández Vidal,2,4,2,5,Mala,Sí,1,Insatisfecho
71,20/12/2023,Desparasitación,38,145,4854,MVZ. Eddie Hernández Vidal,3,4,3,1,Regular,No,5,Extremadamente satisfecho
72,02/04/2023,Estética,8,97,3004,MVZ. Eddie Hernández Vidal,2,2,5,1,Mala,No,3,Satisfecho
73,08/12/2023,Vacunación,26,115,497,MVZ. Eddie Hernández Vidal,3,3,2,5,Pésima,No,2,Algo satisfecho
74,19/11/2023,Urgencias,21,68,5996,MVZ. Eddie Hernández Vidal,4,1,4,4,Pésima,Sí,3,Satisfecho
75,27/11/2023,Vacunación,15,107,3268,MVZ. Eddie Hernández Vidal,3,2,4,2,Regular,No,1,Insatisfecho
76,30/08/2023,Consulta general,22,59,3414,MVZ. Eddie Hernández Vidal,2,4,4,1,Regular,Sí,5,Extremadamente satisfecho
77,20/07/2023,Estética,33,118,4880,MVZ. Eddie Hernández Vidal,3,2,4,2,Regular,No,5,Extremadamente satisfecho
78,24/03/2023,Servicio a domicilio,35,119,4615,MVZ. Eddie Hernández Vidal,2,4,5,4,Mala,No,5,Extremadamente satisfecho
79,22/08/2023,Cirugías,35,79,2907,MVZ. Eddie Hernández Vidal,1,2,3,4,Mala,Sí,4,Muy Satisfecho
80,24/09/2023,Consulta general,29,81,4933,MVZ. Eddie Hernández Vidal,5,4,5,3,Mala,Sí,2,Algo satisfecho
81,29/08/2023,Ultrasonido,19,66,4437,MVZ. Eddie Hernández Vidal,4,2,4,4,Pésima,No,4,Muy Satisfecho
82,03/07/2023,Estética,33,137,2987,MVZ. Eddie Hernández Vidal,2,1,4,5,Regular,Sí,1,Insatisfecho
83,02/11/2023,Estética,26,72,4868,MVZ. Eddie Hernández Vidal,1,3,3,1,Pésima,No,3,Satisfecho
84,23/03/2023,Cirugías,30,78,3731,MVZ. Eddie Hernández Vidal,5,5,3,2,Regular,No,4,Muy Satisfecho
85,18/03/2023,Cirugías,22,109,3853,MVZ. Eddie Hernández Vidal,3,5,4,5,Regular,No,5,Extremadamente satisfecho
86,30/09/2023,Desparasitación,19,111,4774,MVZ. Eddie Hernández Vidal,3,4,3,5,Buena,No,5,Extremadamente satisfecho
87,17/11/2023,Ultrasonido,33,120,1688,MVZ. Eddie Hernández Vidal,5,5,2,5,Buena,No,4,Muy Satisfecho
88,11/08/2023,Servicio a domicilio,19,119,1215,MVZ. Eddie Hernández Vidal,5,1,5,3,Regular,Sí,4,Muy Satisfecho
89,17/04/2023,Servicio a domicilio,29,82,2425,MVZ. Eddie Hernández Vidal,2,5,5,3,Mala,Sí,1,Insatisfecho
90,13/12/2023,Desparasitación,9,18,4315,MVZ. Eddie Hernández Vidal,5,2,2,4,Pésima,No,1,Insatisfecho
91,13/05/2023,Consulta general,7,63,5283,MVZ. Eddie Hernández Vidal,3,4,4,3,Buena,No,5,Extremadamente satisfecho
92,16/07/2023,Cirugías,19,39,1000,MVZ. Eddie Hernández Vidal,5,4,4,4,Buena,No,4,Muy Satisfecho
93,13/08/2023,Cirugías,11,42,3549,MVZ. Eddie Hernández Vidal,5,4,1,1,Buena,Sí,3,Satisfecho
94,21/05/2023,Urgencias,15,139,3741,MVZ. Eddie Hernández Vidal,2,4,3,4,Buena,Sí,5,Extremadamente satisfecho
95,03/12/2023,Estética,26,96,3117,MVZ. Eddie Hernández Vidal,3,5,3,5,Pésima,Sí,4,Muy Satisfecho
96,22/02/2023,Estética,13,77,2386,MVZ. Eddie Hernández Vidal,2,4,4,4,Mala,Sí,4,Muy Satisfecho
97,20/08/2023,Desparasitación,14,36,5219,MVZ. Eddie Hernández Vidal,4,5,3,4,Regular,No,3,Satisfecho
98,27/01/2023,Cirugías,39,149,1974,MVZ. Eddie Hernández Vidal,4,4,5,2,Pésima,Sí,1,Insatisfecho
99,27/07/2023,Vacunación,24,120,2566,MVZ. Eddie Hernández Vidal,1,2,4,4,Buena,Sí,2,Algo satisfecho
100,24/11/2023,Urgencias,13,110,5671,MVZ. Eddie Hernández Vidal,1,3,4,1,Buena,Sí,2,Algo satisfecho
101,18/09/2023,Desparasitación,23,30,642,MVZ. Eddie Hernández Vidal,1,1,2,2,Buena,No,5,Extremadamente satisfecho
102,28/10/2023,Servicio a domicilio,13,97,5307,MVZ. Eddie Hernández Vidal,2,4,5,3,Regular,No,1,Insatisfecho
103,23/09/2023,Servicio a domicilio,38,118,5128,MVZ. Eddie Hernández Vidal,2,4,4,3,Buena,No,4,Muy Satisfecho
104,19/01/2023,Ultrasonido,31,62,535,MVZ. Eddie Hernández Vidal,3,4,3,4,Pésima,Sí,2,Algo satisfecho
105,16/07/2023,Urgencias,9,93,3734,MVZ. Eddie Hernández Vidal,2,2,3,3,Regular,No,1,Insatisfecho
106,05/08/2023,Urgencias,19,122,3740,MVZ. Eddie Hernández Vidal,2,2,1,2,Pésima,No,3,Satisfecho
107,07/05/2023,Urgencias,30,34,2692,MVZ. Eddie Hernández Vidal,2,5,4,1,Mala,Sí,4,Muy Satisfecho
108,29/08/2023,Urgencias,38,51,5023,MVZ. Eddie Hernández Vidal,5,4,3,5,Pésima,Sí,5,Extremadamente satisfecho
109,27/10/2023,Hospitalización,5,54,635,MVZ. Eddie Hernández Vidal,2,2,3,2,Buena,No,1,Insatisfecho
110,24/05/2023,Consulta general,36,93,2359,MVZ. Eddie Hernández Vidal,5,2,3,4,Buena,No,3,Satisfecho
111,27/12/2023,Consulta general,5,121,3897,MVZ. Eddie Hernández Vidal,3,2,1,5,Buena,No,3,Satisfecho
112,10/09/2023,Cirugías,37,25,1328,MVZ. Eddie Hernández Vidal,5,4,3,4,Buena,Sí,4,Muy Satisfecho
